"","village.id","latitude","longitude","traveldist.minutes.general","traveldist.minutes.cherrapunji","traveldist.minutes.guwahati","traveldist.minutes.shillong"
"1",1,25.2702,91.7323,46,0,97.2282180786133,49.687183380127
"6",2,25.59107,91.88416,0,49.9994621276855,52.0032005310059,2.9910831451416
"18",3,25.603653,91.889896,0,51.3369979858398,49.6297569274902,7.39835500717163
"19",4,25.52273,91.44725,11,67.4032287597656,82.5525817871094,35.011547088623
"22",5,25.598137,91.913611,2,56.7908897399902,55.9853286743164,7.10370779037476
"24",6,25.39696,91.369756,36,110.01692199707,125.166275024414,77.6252365112305
"25",7,25.584372,91.8697,0,47.6122207641602,49.6159973144531,3.673579454422
"26",8,25.461693,91.336846,24,103.298721313477,118.44807434082,70.9070358276367
"28",9,25.52273,91.44725,11,67.4032287597656,82.5525817871094,35.011547088623
"29",10,25.5818,91.87903,0,47.8118515014648,50.7376556396484,2.99117469787598
"31",11,25.519844,91.242619,2,82.5493698120117,97.6987228393555,50.1576919555664
"32",12,25.62158,91.88222,0,50.0216293334961,47.2065925598145,6.0829873085022
"41",13,25.596822,91.887607,0,50.7970924377441,51.8453941345215,5.20671844482422
"46",14,25.62406,91.88474,0,50.2154197692871,47.0128479003906,6.27677917480469
"47",15,25.59934,91.86919,0,48.166130065918,49.0620880126953,4.22748851776123
"51",16,25.592723,91.885626,0,50.7970924377441,51.8453941345215,5.20671844482422
"55",17,25.523144,91.475308,11,65.392822265625,80.5421752929688,33.0011405944824
"56",18,25.594963,91.897342,0,53.0573921203613,52.9945182800293,5.26213121414185
"57",19,25.245135,91.737998,51,5.3333625793457,102.5615234375,55.0204887390137
"58",20,25.521249,91.420305,10,68.9110336303711,84.0603866577148,36.5193519592285
"59",21,25.578791,91.857402,0,49.1630783081055,54.4665870666504,6.92554998397827
"63",22,25.586743,91.908795,0,54.6877021789551,57.8273124694824,5.00051784515381
"67",22,25.514038,91.249194,2,83.8120803833008,98.9614334106445,51.4203987121582
"68",23,25.521026,91.255194,1,81.1881561279297,96.3375091552734,48.7964706420898
"71",24,25.467251,91.478565,18,72.1465148925781,87.2958679199219,39.7548294067383
"72",25,25.542131,91.263063,4,82.7945251464844,97.9438781738281,50.4028434753418
"73",26,25.679384,91.055197,18,100.061416625977,114.735122680664,67.6697311401367
"74",27,25.589109,91.887694,0,49.9994621276855,52.0032005310059,2.9910831451416
"77",28,25.272508,91.735561,46,1.2590959072113,97.7150421142578,50.1740074157715
"78",29,25.5788,91.8933,0,49.687183380127,53.2895774841309,0
"79",30,25.445688,91.577725,68,121.998954772949,137.148300170898,89.6072692871094
"80",31,25.526754,91.27328,0,79.5606079101562,94.7099609375,47.1689262390137
"81",32,25.687873,91.972483,8,63.899471282959,51.3680152893066,19.9608287811279
